epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,74084.7,0.55919,0.32177,0.92783,0.99591,0.97896,0.98916,0.83838,0.68857,0.32229,1.01663,0.000254791,0.000254791,0.000254791
85,74980.4,0.56074,0.32617,0.92816,0.99016,0.97989,0.98991,0.84339,0.69298,0.3242,1.02632,0.000240644,0.000240644,0.000240644
86,75814.9,0.55883,0.32142,0.92929,0.99232,0.98319,0.98981,0.84298,0.69073,0.31914,1.03174,0.000226497,0.000226497,0.000226497
87,76583.8,0.56408,0.32345,0.9354,0.9915,0.98011,0.99015,0.84852,0.68559,0.31998,1.02789,0.000212349,0.000212349,0.000212349
88,77367.2,0.56064,0.32113,0.93789,0.99012,0.9787,0.98883,0.8436,0.68953,0.32092,1.0222,0.000198202,0.000198202,0.000198202
89,78182.1,0.55285,0.31894,0.92949,0.99205,0.98144,0.98987,0.84586,0.69701,0.32365,1.03803,0.000184055,0.000184055,0.000184055
90,78969.3,0.52839,0.31226,0.92241,0.9909,0.97973,0.99052,0.84986,0.68632,0.31936,1.03197,0.000169908,0.000169908,0.000169908
91,79709.9,0.51144,0.27756,0.90779,0.99268,0.97339,0.98778,0.83488,0.69479,0.32098,1.02747,0.000155761,0.000155761,0.000155761
92,80464.7,0.48642,0.26949,0.89671,0.99197,0.97891,0.98813,0.82901,0.69677,0.32176,1.03101,0.000141614,0.000141614,0.000141614
93,81207.9,0.47094,0.26007,0.89744,0.98759,0.9797,0.98831,0.83377,0.69297,0.32024,1.03637,0.000127467,0.000127467,0.000127467
94,81957.4,0.46063,0.25253,0.88837,0.99047,0.97942,0.98881,0.84341,0.68143,0.31955,1.02753,0.00011332,0.00011332,0.00011332
95,82707.8,0.4589,0.24929,0.89491,0.99567,0.97391,0.98918,0.85007,0.66899,0.31571,1.02362,9.91726e-05,9.91726e-05,9.91726e-05
96,83488.1,0.45674,0.24747,0.89819,0.99129,0.97604,0.9895,0.85121,0.66814,0.31615,1.01988,8.50255e-05,8.50255e-05,8.50255e-05
97,84332.1,0.45771,0.25097,0.88783,0.99289,0.97695,0.98933,0.85408,0.66644,0.31377,1.0142,7.08784e-05,7.08784e-05,7.08784e-05
98,85127.5,0.45026,0.24533,0.89214,0.99292,0.97654,0.98989,0.85648,0.66035,0.30702,1.01406,5.67313e-05,5.67313e-05,5.67313e-05
99,85957.9,0.4463,0.24713,0.88244,0.99008,0.9788,0.98979,0.85552,0.66314,0.30795,1.01582,4.25842e-05,4.25842e-05,4.25842e-05
100,86770.8,0.44636,0.24311,0.88117,0.98994,0.97895,0.98981,0.85305,0.66903,0.31078,1.01832,2.84371e-05,2.84371e-05,2.84371e-05
